number,title,body,title_length,body_length,created_at,merged_at,updated_at,closed_at,state,merged,comments,commits,additions,deletions,changed_files,lines_added,lines_deleted,files_added,files_deleted,files_updated,files_modified,directory_num,file_type,language_num,segs_added,segs_deleted,segs_updated,file_developer,change_num,k_coreness,experience,repo
78,Update README.md,,16,0,2017-10-08 20:45:06+00:00,2017-10-08 20:52:44+00:00,2017-10-08 20:52:47+00:00,2017-10-08 20:52:44+00:00,closed,True,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,sharkdp/fd
83,Switch symlink arg from 's' to 'l',Switch the symlink argument for `--type` from `s` to `l`. Fixing #80.,34,69,2017-10-09 01:09:51+00:00,2017-10-09 19:25:31+00:00,2017-10-10 05:26:43+00:00,2017-10-09 19:25:31+00:00,closed,True,3,2,6,6,4,6,6,0,0,4,4,2,2,2,0,0,0,0,4,0,0,sharkdp/fd
90,Break main down,"Fixes #88 

The first commit here breaks main into separate modules. I can take a shot at refactoring after you review what I have so far. I had to make some types public, reorganize imports, etc.

If you have a preference on how to refactor the larger functions, let me know.",15,280,2017-10-10 06:03:12+00:00,2017-10-11 06:21:11+00:00,2017-10-11 06:21:53+00:00,2017-10-11 06:21:11+00:00,closed,True,6,1,354,330,4,354,330,3,0,1,1,1,1,1,0,0,0,0,4,0,0,sharkdp/fd
96,Add --glob and --regex,"WIP:

- ~~[ ] update the ""globset"" crate in the upstream~~?
- [ ] documentation
- [ ] the behavior of ""/"" and ""\\"" on Windows file paths (BurntSushi/ripgrep#526)
- [x] test with `--full-path`
- [ ] more tests
- [ ] todos and fixme in the source code

ping #85 ",22,269,2017-10-11 00:52:27+00:00,,2017-10-25 21:20:27+00:00,2017-10-25 21:20:27+00:00,closed,False,11,1,172,3,8,172,3,1,0,7,7,2,3,3,0,0,0,0,8,0,0,sharkdp/fd
102,"Use absolute path to perform search, fixes #81","Previously, we were using the relative path to extract the search
string. For the current directory, the returned relative path was equal
to `""""`. This is why the current directory did not show in the search
results (see #81).

This commit also changes the way that `--full-path` works, which was
previously working on relative paths. It seems more useful to search the
absolute path, though. Otherwise, search results could change just by
calling fd (with a given search path) from a different directory.",46,513,2017-10-11 21:13:42+00:00,2017-10-13 16:16:27+00:00,2017-10-13 16:16:31+00:00,2017-10-13 16:16:27+00:00,closed,True,7,1,50,15,2,50,15,0,0,2,2,2,1,1,0,0,0,0,2,0,0,sharkdp/fd
110,Improve smart case to only consider literal uppercase chars,"Fixes #103.

Uses a slightly simplified version of what ripgrep does.",59,71,2017-10-13 19:49:12+00:00,2017-10-14 09:03:22+00:00,2017-10-14 12:21:41+00:00,2017-10-14 09:03:23+00:00,closed,True,1,1,40,6,5,40,6,0,0,5,5,2,3,3,0,0,0,0,5,0,0,sharkdp/fd
100,Format the source code using `rustfmt`,Just a `rustfmt` pass in this PR. I'll do Travis setup separately. #99,38,70,2017-10-11 17:06:11+00:00,2017-10-12 17:33:15+00:00,2017-10-12 17:33:25+00:00,2017-10-12 17:33:15+00:00,closed,True,4,1,352,252,8,352,252,0,0,8,8,5,1,1,0,0,0,0,8,0,0,sharkdp/fd
98,Add ripgrep aliases for no-ignore and hidden,"Add `-u` and `-uu` aliases for **no-ignore** and **no-ignore+hidden** to match behaviour of ripgrep. This fixes #92.

Note: I have implemented this using a hidden argument. I am new to rust so please let me know if there is a more idiomatic approach.",44,252,2017-10-11 11:10:47+00:00,2017-10-11 21:15:22+00:00,2017-10-11 21:15:31+00:00,2017-10-11 21:15:23+00:00,closed,True,4,2,33,2,3,33,2,0,0,3,3,2,1,1,0,0,0,0,3,0,0,sharkdp/fd
101,Make Travis check that the code is correctly formatted,"Stable channel build now runs `rustfmt` and the build is considered as failed if it produces any differences compared to the code that was submitted. The nightly channel runs `rustfmt-nightly` just to see in advance whether there's some changes coming in the nightly version of `rustfmt`. As nightly builds are allowed to fail, it does not affect the result of the build. Closes #99.

Obviously we will want #100 to be merged before this :)",54,442,2017-10-11 18:36:44+00:00,2017-10-12 19:53:21+00:00,2017-10-12 19:53:49+00:00,2017-10-12 19:53:21+00:00,closed,True,2,1,29,11,1,29,11,0,0,1,1,0,1,1,0,0,0,0,1,0,0,sharkdp/fd
109,Update ansi_term to 0.10,,24,0,2017-10-13 18:27:34+00:00,,2017-10-13 19:36:28+00:00,2017-10-13 19:05:26+00:00,closed,False,3,1,38,48,2,38,48,0,0,2,2,0,2,2,0,0,0,0,2,0,0,sharkdp/fd
112,Fix too many path separators on Windows (#93) and refactor output.rs,"Fixes #93.

I also decided to refactor `output.rs` a bit. Please let me know if it's ok to include the refactoring in this PR (otherwise I'll split it off to another PR).",68,172,2017-10-14 01:53:14+00:00,2017-10-14 09:11:07+00:00,2017-10-14 12:21:33+00:00,2017-10-14 09:11:07+00:00,closed,True,1,3,98,84,1,98,84,0,0,1,1,1,1,1,0,0,0,0,1,0,0,sharkdp/fd
113,Use a uniform output format for searching ../,"closes #107, fixes #82 by the way (Yeah, I don't want to split this patch.)",45,75,2017-10-14 11:31:15+00:00,2017-10-15 13:01:25+00:00,2017-10-18 11:38:29+00:00,2017-10-15 13:01:25+00:00,closed,True,27,2,122,55,5,122,55,0,0,5,5,3,1,1,0,0,0,0,5,0,0,sharkdp/fd
115,Enable caching on appveyor,@iology I've seen this in some other appveyor.yml files. Would this work?,26,73,2017-10-14 15:29:36+00:00,2017-10-14 16:55:27+00:00,2017-10-15 14:09:05+00:00,2017-10-14 16:55:27+00:00,closed,True,1,1,4,0,1,4,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,sharkdp/fd
114,"Dot ""."" also matches newline by default (closes #111)",Please ignore another patch in issue 96.,53,40,2017-10-14 13:43:21+00:00,2017-10-14 14:12:12+00:00,2017-10-14 14:12:15+00:00,2017-10-14 14:12:12+00:00,closed,True,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,sharkdp/fd
117,Added another way of installation,Added option using Nix package manager,33,38,2017-10-14 19:33:32+00:00,2017-10-15 08:12:03+00:00,2017-10-15 08:12:03+00:00,2017-10-15 08:12:03+00:00,closed,True,1,1,5,0,1,5,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,sharkdp/fd
116,Implement the --exec flag,"With this change, the `--exec` flag will be fully functional with a syntax similar to GNU Parallel. The argument that follows the `--exec` flag will be used as the command template, and each path discovered is distributed across a job pool for command generation & execution.

The README has been updated to demonstrate the new feature.

Closes #84 ",25,353,2017-10-14 16:39:30+00:00,2017-10-15 19:36:52+00:00,2017-10-15 19:36:52+00:00,2017-10-15 19:36:52+00:00,closed,True,40,9,666,66,13,666,66,5,0,8,8,2,5,5,0,0,0,0,13,0,0,sharkdp/fd
118,AppVeyor: fix path of cache direcotry,"`target/debug/.fingerprint/` and `target/debug/deps` are both important. The file structure may changed in the future, so just cache the whole `target` directory. Only clear cache when Cargo.lock changes, so that it won't exceed the space capacity.",37,248,2017-10-15 07:43:12+00:00,2017-10-15 08:12:56+00:00,2017-10-15 09:20:11+00:00,2017-10-15 08:12:56+00:00,closed,True,4,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,sharkdp/fd
